Fam1EN;CostTypeEN;BookingEN;ActivityKey;combined_text;Transaction_Index;Cat1_Match;Cat2_Match;DescriptionCat2_Match;Similarity_Score
energy, operating and auxiliary materials;Water;water session iv;Water;Water water session iv;877;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.24804702401161194
energy, operating and auxiliary materials;Water;water seminar iv;Water;Water water seminar iv;878;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.4687303900718689
energy, operating and auxiliary materials;Water;water seminar iv;Water;Water water seminar iv;879;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.4687303900718689
energy, operating and auxiliary materials;Water;water reap iv;Water;Water water reap iv;880;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.2835356593132019
energy, operating and auxiliary materials;Water;water reap iv;Water;Water water reap iv;881;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.2835356593132019
energy, operating and auxiliary materials;Water;water rat iv grosser;Water;Water water rat iv grosser;882;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.32166409492492676
energy, operating and auxiliary materials;Water;water rat iv grosser;Water;Water water rat iv grosser;883;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.32166409492492676
energy, operating and auxiliary materials;Water;water rat iv grosser;Water;Water water rat iv grosser;884;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.32166409492492676
energy, operating and auxiliary materials;Water;water rat iv grosser;Water;Water water rat iv grosser;885;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.32166409492492676
external services;DZ - Div. Cost of goods;water pump;Admin equipments;DZ - Div. Cost of goods water pump;886;purchase of goods;water consumption;the use of water in a variety of contexts, from drinking water for domestic needs to water used in industrial processes and agricultural irrigation. it includes water consumption by households (cooking water, showers, laundry), as well as use by professional infrastructures and installations.;0.4587317109107971
energy, operating and auxiliary materials;Gas;water project heygs ub;Gas;Gas water project heygs ub;887;use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.;0.5160056948661804
energy, operating and auxiliary materials;Gas;water project heygs ub;Gas;Gas water project heygs ub;888;use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.;0.5160056948661804
marketing;Advertising Products (Creation, Realization, Production);water postcard;Marketing services;Advertising Products (Creation, Realization, Production) water postcard;889;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5430065393447876
energy, operating and auxiliary materials;Water;water place;Water;Water water place;890;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.42413008213043213
energy, operating and auxiliary materials;Water;water place;Water;Water water place;891;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.42413008213043213
energy, operating and auxiliary materials;Water;water place;Water;Water water place;892;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.42413008213043213
energy, operating and auxiliary materials;Water;water part;Water;Water water part;893;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.4770841896533966
energy, operating and auxiliary materials;Water;water of denweg extra costs;Water;Water water of denweg extra costs;894;purchase of goods;water consumption;the use of water in a variety of contexts, from drinking water for domestic needs to water used in industrial processes and agricultural irrigation. it includes water consumption by households (cooking water, showers, laundry), as well as use by professional infrastructures and installations.;0.6002287864685059
energy, operating and auxiliary materials;Water;water of denweg extra costs;Water;Water water of denweg extra costs;895;purchase of goods;water consumption;the use of water in a variety of contexts, from drinking water for domestic needs to water used in industrial processes and agricultural irrigation. it includes water consumption by households (cooking water, showers, laundry), as well as use by professional infrastructures and installations.;0.6002287864685059
energy, operating and auxiliary materials;Water;water of denweg extra costs;Water;Water water of denweg extra costs;896;purchase of goods;water consumption;the use of water in a variety of contexts, from drinking water for domestic needs to water used in industrial processes and agricultural irrigation. it includes water consumption by households (cooking water, showers, laundry), as well as use by professional infrastructures and installations.;0.6002287864685059
energy, operating and auxiliary materials;Water;water messe iv bau energy;Water;Water water messe iv bau energy;897;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.42937618494033813
energy, operating and auxiliary materials;Water;water messe iv bau energy;Water;Water water messe iv bau energy;898;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.42937618494033813
energy, operating and auxiliary materials;Water;water martin iv;Water;Water water martin iv;899;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.3167819082736969
energy, operating and auxiliary materials;Water;water martin iv;Water;Water water martin iv;900;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.3167819082736969
energy, operating and auxiliary materials;Water;water limp iv;Water;Water water limp iv;901;agri-food products;fish;sea or freshwater products, used in cooking for their high protein and nutrient content. this includes fresh, smoked and filleted fish, such as salmon, tuna, trout, cod and sardines, suitable for a variety of culinary preparations, from grilled dishes to recipes in sauce.;0.24829994142055511
energy, operating and auxiliary materials;Water;water limp iv;Water;Water water limp iv;902;agri-food products;fish;sea or freshwater products, used in cooking for their high protein and nutrient content. this includes fresh, smoked and filleted fish, such as salmon, tuna, trout, cod and sardines, suitable for a variety of culinary preparations, from grilled dishes to recipes in sauce.;0.24829994142055511
energy, operating and auxiliary materials;Water;water iv test track;Water;Water water iv test track;903;purchase of materials;chemical products (fertilisers and nitrogen compounds);chemical products used for agriculture and soil enrichment. these include heaped manure, ammonium nitrate, phosphate and thomas slag. ;0.31389448046684265
energy, operating and auxiliary materials;Water;water iv test track;Water;Water water iv test track;904;purchase of materials;chemical products (fertilisers and nitrogen compounds);chemical products used for agriculture and soil enrichment. these include heaped manure, ammonium nitrate, phosphate and thomas slag. ;0.31389448046684265
energy, operating and auxiliary materials;Water;water iv summer synod;Water;Water water iv summer synod;905;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.28422290086746216
energy, operating and auxiliary materials;Water;water iv summer synod;Water;Water water iv summer synod;906;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.28422290086746216
energy, operating and auxiliary materials;Water;water iv sdd;Water;Water water iv sdd;907;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.34591126441955566
energy, operating and auxiliary materials;Water;water iv sdd;Water;Water water iv sdd;908;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.34591126441955566
energy, operating and auxiliary materials;Water;water iv occupational safety;Water;Water water iv occupational safety;909;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.4020846486091614
energy, operating and auxiliary materials;Water;water iv occupational safety;Water;Water water iv occupational safety;910;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.4020846486091614
energy, operating and auxiliary materials;Water;water iv lap exams;Water;Water water iv lap exams;911;purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.;0.1400587260723114
energy, operating and auxiliary materials;Water;water iv lap exams;Water;Water water iv lap exams;912;purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.;0.1400587260723114
energy, operating and auxiliary materials;Water;water iv lap;Water;Water water iv lap;913;purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.;0.22566884756088257
energy, operating and auxiliary materials;Water;water iv lap;Water;Water water iv lap;914;purchase of goods;healthcare products;includes not only medicines, but also a wider range of products for the prevention, treatment and maintenance of health. it includes medical devices (such as bandages and diagnostic equipment), medicines, food supplements, vaccines, as well as care and hygiene products designed to improve general well-being.;0.22566884756088257
energy, operating and auxiliary materials;Water;water iv geosummit;Water;Water water iv geosummit;915;purchase of materials;chemical products (fertilisers and nitrogen compounds);chemical products used for agriculture and soil enrichment. these include heaped manure, ammonium nitrate, phosphate and thomas slag. ;0.4151708781719208
energy, operating and auxiliary materials;Water;water iv geosummit;Water;Water water iv geosummit;916;purchase of materials;chemical products (fertilisers and nitrogen compounds);chemical products used for agriculture and soil enrichment. these include heaped manure, ammonium nitrate, phosphate and thomas slag. ;0.4151708781719208
energy, operating and auxiliary materials;Water;water iv gastronomy;Water;Water water iv gastronomy;917;purchase of materials;landwirtschaftliche chemikalien;purchases of chemicals used in agriculture for various applications, such as soil and crop treatments, and winemaking processes. this includes acids such as citric acid, tartaric acid and sorbic acid, as well as acid salts. these include products such as potassium bisulphite, calcium carbonate and liquid sulphur dioxide. natural substances such as bacteria, yeast, bentonites and kaolin, as well as additives such as ammonium sulphate, brine and tannins, also fall into this category, often used to enrich, protect or stabilise agricultural products.;0.5195622444152832
energy, operating and auxiliary materials;Water;water iv gastronomy;Water;Water water iv gastronomy;918;purchase of materials;landwirtschaftliche chemikalien;purchases of chemicals used in agriculture for various applications, such as soil and crop treatments, and winemaking processes. this includes acids such as citric acid, tartaric acid and sorbic acid, as well as acid salts. these include products such as potassium bisulphite, calcium carbonate and liquid sulphur dioxide. natural substances such as bacteria, yeast, bentonites and kaolin, as well as additives such as ammonium sulphate, brine and tannins, also fall into this category, often used to enrich, protect or stabilise agricultural products.;0.5195622444152832
energy, operating and auxiliary materials;Water;water iv exams;Water;Water water iv exams;919;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.22870969772338867
energy, operating and auxiliary materials;Water;water iv exams;Water;Water water iv exams;920;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.22870969772338867
energy, operating and auxiliary materials;Water;water iv exams;Water;Water water iv exams;921;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.22870969772338867
energy, operating and auxiliary materials;Water;water iv exams;Water;Water water iv exams;922;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.22870969772338867
energy, operating and auxiliary materials;Water;water iv correction;Water;Water water iv correction;923;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.33535489439964294
energy, operating and auxiliary materials;Current;water iv correction;Electricity;Current water iv correction;924;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.2427220344543457
energy, operating and auxiliary materials;Water;water iv barstreet;Water;Water water iv barstreet;925;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.42099303007125854
energy, operating and auxiliary materials;Water;water iv barstreet;Water;Water water iv barstreet;926;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.42099303007125854
energy, operating and auxiliary materials;Water;water iv andreas;Water;Water water iv andreas;927;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.2759149372577667
energy, operating and auxiliary materials;Water;water iv andreas;Water;Water water iv andreas;928;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.2759149372577667
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;929;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;930;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;931;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;932;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;933;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;934;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;935;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;936;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;937;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;938;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;939;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;940;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;941;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;942;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;943;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;944;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;945;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;946;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;947;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;948;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;949;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;950;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Current;water iv;Electricity;Current water iv;951;use of electricity;standard;consumption of electricity from a variety of sources, including fossil fuels (coal, gas, oil) as well as renewable energies, without specific distinction.;0.3202335238456726
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;952;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;953;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;954;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;955;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;956;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;957;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;958;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;959;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;960;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;961;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;962;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;963;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;964;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;965;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;966;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;967;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;968;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;969;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
